Region Name,Region Type,Type,zillow_Current,zillow_Month Over Month,zillow_Quarter Over Quarter,zillow_Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year
Lake Hills,neighborhood,All Homes,"$829,300",0.5%,1.8%,2.2%,9.5%,7.2%,$460,0.7%,2.0%,2.2%
Lake Meridian,neighborhood,All Homes,"$596,800",1.4%,3.5%,7.2%,6.8%,4.1%,$240,1.7%,3.9%,7.6%
Lake Morton-Berrydale,neighborhood,All Homes,"$530,800",1.1%,3.3%,8.6%,8.3%,5.0%,$827,1.1%,3.4%,8.7%
Lake Ota,neighborhood,All Homes,"$323,200",1.1%,3.8%,9.5%,10.6%,5.8%,$253,0.8%,3.7%,9.5%
Lake View,neighborhood,All Homes,"$1,350,300",0.6%,2.0%,4.0%,9.0%,6.8%,$748,0.5%,2.0%,4.0%
Lakeland North,neighborhood,All Homes,"$416,700",1.3%,3.8%,8.7%,9.2%,5.0%,$241,1.3%,3.9%,8.6%
Lakeland South,neighborhood,All Homes,"$448,000",1.3%,4.2%,11.5%,8.9%,4.9%,$224,1.4%,4.2%,11.4%
Lakeview,neighborhood,All Homes,"$243,200",1.7%,6.0%,11.3%,11.0%,5.5%,$311,1.6%,5.8%,11.1%
Lakewood,neighborhood,All Homes,"$836,700",0.6%,1.6%,3.5%,8.5%,6.0%,$449,0.4%,1.6%,3.5%
Laurelhurst,neighborhood,All Homes,"$1,697,200",0.6%,1.8%,2.6%,7.5%,5.6%,$623,0.6%,2.0%,2.6%
Laurelwood,neighborhood,All Homes,"$408,700",1.3%,3.4%,8.7%,9.2%,5.3%,$243,1.3%,3.4%,9.0%
Lea Hill,neighborhood,All Homes,"$479,900",1.2%,4.0%,9.0%,8.2%,4.8%,$216,1.4%,3.8%,9.1%
Leisure Estates,neighborhood,All Homes,"$467,600",1.1%,3.4%,5.4%,8.6%,5.4%,$320,0.9%,3.2%,5.6%
Leschi,neighborhood,All Homes,"$1,007,200",0.6%,2.1%,3.2%,8.4%,6.1%,$577,0.7%,2.1%,3.2%
Liberty Grove,neighborhood,All Homes,"$858,500",0.2%,0.4%,-1.7%,6.5%,5.1%,$259,0.4%,0.4%,-1.9%
Liberty Ridge,neighborhood,All Homes,"$567,200",0.9%,2.2%,5.0%,8.3%,4.8%,$232,0.9%,2.2%,5.0%
Lower Queen Anne,neighborhood,All Homes,"$764,700",0.9%,2.2%,0.7%,7.8%,5.5%,$676,0.9%,2.1%,0.7%
Lower West Ridge,neighborhood,All Homes,"$665,900",0.8%,2.4%,2.4%,9.0%,6.3%,$386,0.8%,2.4%,2.4%
Loyal Heights,neighborhood,All Homes,"$843,000",0.6%,1.9%,2.4%,8.0%,6.5%,$534,0.8%,1.9%,2.5%
Madison Park,neighborhood,All Homes,"$1,674,700",0.3%,1.5%,2.8%,7.5%,5.4%,$810,0.4%,1.5%,2.9%
Madison Valley,neighborhood,All Homes,"$910,600",0.7%,2.5%,3.5%,7.9%,6.6%,$615,0.8%,2.5%,3.5%
Madrona,neighborhood,All Homes,"$424,100",1.0%,3.6%,10.0%,9.2%,5.0%,$243,1.3%,3.4%,10.0%
Madrona,neighborhood,All Homes,"$1,123,900",0.3%,0.8%,1.3%,8.3%,6.6%,$573,0.4%,0.9%,1.4%
Magnolia,neighborhood,All Homes,"$1,027,200",0.5%,1.8%,3.0%,7.5%,5.9%,"$1,092",0.5%,1.8%,3.0%
Maloney Grove,neighborhood,All Homes,"$744,500",0.7%,2.4%,6.2%,8.0%,5.3%,$296,0.7%,2.4%,6.1%
Mann,neighborhood,All Homes,"$829,200",0.9%,2.7%,4.2%,9.5%,7.6%,$532,0.9%,2.7%,4.1%
Maple Heights-Lake Desire,neighborhood,All Homes,"$657,600",0.9%,2.6%,5.5%,7.8%,4.5%,$253,0.8%,2.8%,5.4%
Maple Leaf,neighborhood,All Homes,"$787,100",0.6%,2.2%,2.7%,8.8%,6.9%,$494,0.6%,2.1%,2.7%
Maple Ridge Estates,neighborhood,All Homes,"$580,200",1.0%,3.0%,5.9%,7.8%,5.4%,$250,0.8%,2.9%,5.9%
Maplewood,neighborhood,All Homes,"$446,300",1.3%,3.2%,8.1%,8.7%,5.7%,$301,1.3%,3.1%,7.9%
