"King County, WA - All Homes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistic,,,Zillow Home Value Index,,,,,,Listings with price cut (%),,,,Median value per sq. ft. ($),,,,Median price cut (%),,,,Median list price ($),,,,Median sale price ($),,,,Median list price / sq. ft. ($),,,,Median rent list price ($),,,,Median rent list price / sq. ft. ($),,,,Homes foreclosed,,,,Zillow Rent Index,,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
Evendell,neighborhood,All Homes,"$644,300",0.9%,2.6%,4.8%,8.1%,5.6%,---,---,---,---,$291,1.0%,2.8%,5.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Everest,neighborhood,All Homes,"$795,400",0.5%,1.8%,3.9%,10.4%,7.3%,---,---,---,---,$538,0.6%,1.9%,3.9%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Factoria,neighborhood,All Homes,"$460,700",0.9%,2.3%,1.0%,10.3%,6.3%,---,---,---,---,$424,0.7%,2.2%,1.0%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,118",1.7%,-0.1%,4.9%
Fairmount Park,neighborhood,All Homes,"$680,900",0.8%,2.6%,4.1%,8.8%,6.1%,---,---,---,---,$541,0.7%,2.5%,4.0%,---,---,---,---,"$610,000",1.8%,0.0%,-4.5%,---,---,---,---,$449,0.5%,1.4%,7.5%,---,---,---,---,---,---,---,---,0,---,---,---,"$2,509",0.4%,-2.0%,0.5%
Fairwood,neighborhood,All Homes,"$536,300",1.2%,4.0%,9.0%,8.3%,5.2%,---,---,---,---,$259,1.2%,4.0%,8.8%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Falcon Ridge,neighborhood,All Homes,"$466,700",1.2%,3.3%,6.6%,9.1%,6.6%,---,---,---,---,$302,1.3%,3.4%,6.7%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Fauntleroy,neighborhood,All Homes,"$844,400",0.5%,1.6%,3.1%,7.4%,5.2%,---,---,---,---,$414,0.5%,1.7%,3.0%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,"$2,697",0.2%,-2.4%,-2.4%
Finn Hill,neighborhood,All Homes,"$770,800",0.8%,2.2%,3.6%,8.9%,6.4%,9.3%,1.6%,-14.6%,3.5%,$842,0.7%,2.2%,3.6%,---,---,---,---,"$901,000",0.2%,2.4%,0.4%,"$744,000",-1.7%,-5.5%,-4.5%,$417,3.0%,3.0%,7.9%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,727",-0.2%,-1.6%,5.4%
First Hill,neighborhood,All Homes,"$503,900",0.4%,1.2%,-1.2%,8.1%,5.8%,---,---,---,---,$720,0.4%,1.3%,-1.1%,---,---,---,---,"$552,500",-4.6%,6.2%,15.3%,---,---,---,---,$654,-4.7%,-0.9%,2.6%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,113",-1.7%,-3.5%,-2.0%
Five Corners,neighborhood,All Homes,"$511,600",0.9%,2.9%,6.4%,9.9%,5.6%,---,---,---,---,$280,1.1%,2.9%,6.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Forest Service/Mt. SI,neighborhood,All Homes,"$603,500",1.0%,3.3%,6.0%,8.1%,3.8%,---,---,---,---,$334,0.9%,3.1%,6.0%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Forster Woods,neighborhood,All Homes,"$744,900",1.1%,3.7%,8.7%,9.3%,5.8%,---,---,---,---,$325,0.9%,3.5%,8.7%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Fremont,neighborhood,All Homes,"$821,700",0.7%,1.8%,1.3%,8.2%,6.6%,---,---,---,---,$615,0.7%,1.7%,1.2%,---,---,---,---,"$700,000",-2.6%,-8.5%,-5.4%,---,---,---,---,$580,1.9%,1.4%,-2.9%,"$3,200",0.0%,1.7%,14.5%,---,---,---,---,0,---,---,---,"$2,824",-1.6%,-0.8%,3.2%
